text,date,rating,has_official_reply,reactions_total,edited
"Долго в очереди не приходится ждать , качественное и быстрое выполнение своих обязанностей менеджера Алихана",14 января 2026,5,True,1,False
"Добрый день!Обращался к менеджерам банка Милане и Алмасу по выпуску дебетовой карты банка.Все прошло отлично,карта выпущена.Спасибо за оказанные услуги!Ребята-молодцы!!!",14 января 2026,5,True,1,False
Отличное отделение. Мне помог сотрудник Алмас Абдыгалиев! Очень компетентный и воспитанный.Ответил на ВСЕ вопросы четко и быстро. Спасибо!,14 января 2026,5,True,1,False
"Хороший персонал,менеджер Алихан обслужил быстро и четко, без лишней суеты и затяжки времени. Все понравилось 😊",14 января 2026,5,True,1,False
"Бүгін Freedom bank филиалына карточка аштыру мақсатында келдім. Көңілім сондай толды, керемет қызмет көрсету, әсіресе Стамшал Ильяс супервайзерге үлкен алғыс, еңбегіңіз жемісті бола берсін.",14 января 2026,5,True,1,False
"Очень благодарна менеджеру банка Байбосын Акерке, за прекрасное обслуживание, быстро и доступно оформила карточные счета. Очень приятная была общаться с этим менеджером! Если возможно благодарить этого менеджера!",13 января 2026,5,True,1,False
"В связи с нерезиденством Казахстана мой вопрос был достаточно сложным. На консультации специалист банка Тугулбаева Меруерт все очень подробно рассказала, объяснила порядок действий и все это с доброй улыбкой и искренним желанием помочь. Это не просто очередной отзыв, это отзыв после визита в другой банк и к другому специалисту. Меруерт однозначно делает любимое дело и относится к клиентам с огромной заботой. Большое спасибо банку, что так тщательно подбираете персонал, действительно хочется возвращаться снова и снова.",13 января 2026,5,True,1,False
"Благодарю Айгерим Байболат, за то, что открыла мне карту. Отличная работа сотрудника! Всё спокойно объяснила, дала советы и поделилась нужной информацией, спасибо ☺️",12 января 2026,5,True,1,False
Почему я должна платить за карту 20 ты с тенге ? До этого не было такого что для иностранных граждан комиссия такая за карту или за открытие приложения ! Я написала жалобу на ваш банк а так же в банковский омбудсман,11 января 2026,1,True,1,False
"Благодарим Алмаса за подробную консультацию, был внимателен к деталям, вежлив и лоялен к нам как к клиентам! Желаем процветания команде Freedom! Остались довольны",6 января 2026,5,True,1,False
"Самый худший банк в мире!
Колл центр нормально не работает в отделение тоже сотрудники очень грубые на мои вопросы не получила ответ
Где находится главной сами не знают",31 декабря 2025,1,True,1,False
"Технически неадекватная процедура открытия карты - невозможно сделать это без подключения к wifi банка. И если не виден пуш, то попытка через сутки. Через менеджера в офисе или с мобильным интернетом сделать невозможно.",27 декабря 2025,1,True,0,False
"Сегодня посетил отделение Фридом банка на Курмангазы. К счастью мне помогал менеджер Меруерт Тугулбаева. Это замечательный человек, способный специалист и просто хороший сотрудник. Мне профессионально помогла , занималась моим вопросом и все смогла решить.
Спасибо ей за это. С наступающим новым годом!
Оценка 10 из 10.",26 декабря 2025,5,True,1,False
"Спасибо за оперативную работу по открытию депозита
Было все ясно и быстро
Выражаю благодарность Байболат Айгерим за профессионализм",23 декабря 2025,5,True,1,False
"Обслуживание физлиц на высоком уровне. Профессиональный и клиентоориентированный персонал. Быстро, понятно, всё чётко разъясняют. Отличное владение и казахским, и русским. Ақерке - милая, внимательная и грамотная девушка",23 декабря 2025,5,True,2,False
"Хороший банк , обслуживание хорошее. Особенно хочу отметить Айганым Жумамурат ❤️‍🔥❤️‍🔥всегда поможет и идеально объяснит. Спасибо большое freedom за таких работниц 🩷🩷🩷",18 декабря 2025,5,True,3,True
"Акерке очень приятная грамотный менеджер, рассказала всё про сервис и как обслуживаться стало всё понятно благодарю за такой сервис обслуживания, карьерного роста и процветания Акерке",17 декабря 2025,5,True,3,False
"Закрываю все свои счета как юр лица так и физ лица , сервис ноль, условия никакие,
Всех предупреждаю
Прежде чем о урывать счета в этом банке
Ознакомьтесь с условиями внимательно по закрытию счетов для начала ,
У них карточки закрываются 30 дней🤦🏻‍♂️ а новые карты не открыт пока старые не закроются , то есть 30 дней остаетесь без денег",10 декабря 2025,1,True,0,False
"Условия вообще никакие , чтоб закрыть карту надо ждать 30 дней , новая карта не открывается пока старая не закроется у которой вообще срок действия истек давно , но она не закрывается по истечению срока , и ее даже менеджеры закрыть не могут так как к ней привязана какая та непонятна из валюта Фридом ненужна бесполезна , в итоге пришел сюда в отделение , парковки нету , еще и карту открыть ровную не смогли и закрыть карту у которой срок истек тоже не могли , далеко вам еще до Каспи конечно , пока мись вы у них сосете по гланды",10 декабря 2025,1,True,2,False
"Благодарю стажёра по имени Алмас, очень хорошо объяснили, конструктивно и понятно, остались одни лишь хорошие впечатления, большая благодарность, непосредственно Алмасу!",8 декабря 2025,5,True,2,False
"Если хотите сделать свифт перевод , не делайте через фридом, 2 недели не могут сделать перевод, запрашивают кучу документов, у них проблемы с корреспондентами так как рос банк изначально, даже предоставив документы , не могут элементарно сделать транзакцию. БЦК, Форте или Халык , обращайтесь туда, убедитесь сами там все быстро и налажено сделали",26 ноября 2025,1,True,0,True
"Уровень обслуживания просто ужасен. Заблокировали счёт и чтобы хоть какую-то информацию узнать пришлось лично ехать, иначе ничего не объясняют, просто ужас...",22 ноября 2025,1,True,0,True
"Хочу выразить благодарность менеджеру Айгерим за отличную работу. Она проявила себя как вежливый и коммуникабельный специалист, быстро и в кратчайшие сроки решила все возникающие вопросы. Видно, что она компетентна и хорошо разбирается в своей работе. Осталась очень довольна обслуживанием.",21 ноября 2025,5,True,1,False
"Отвратительная скорость обслуживания. Ждал в очереди больше часа, при том, чтобы был там в середине рабочего дня, и так уже не первый раз.",21 ноября 2025,1,True,0,False
"Нас встретил Стамшал Ильяс, все помог загрузить, открыть карточку и дал хорошее пояснение как обслуживаться. Спасибо очень приятное обслуживание",21 ноября 2025,5,True,1,False
Удобное и комфортное отделение банка. Отдельная благодарность за качественный сервис и оперативное решение вопроса менеджеру Айганым.,21 ноября 2025,5,True,1,False
"Спасибо большое за обслуживание, банк супер! Спасибо супервайзеру Байбосын Акерке, специалист своего дела!",20 ноября 2025,5,True,2,False
"Была в вашем банке, открыла карту
Помогла Акерке с ресепшен
Очень хороший сотрудник. Она внимательная, вежливая и меня сопровождала во всех вопросах и очень-очень помогла!
Большое ей спасибо!!!🩷",18 ноября 2025,5,True,2,False
"Супервайзер Махмуд Альбина, спасибо большое, очень сильно помогла! Также отдельно хотел поблагодарить Диаса, с отдела кредитования! Хороший, современное отделение!
Очень быстро провели все операций, не сидя долго в очереди.",18 ноября 2025,5,True,1,False
"Очень удобный банк, никогда не сидишь в очереди часами, как в других, а менеджер кредитования Малахан Диас профессионал своего дела, понимающий, всегда на связи ❤️ Супервайзер Махмуд Альбина благодарность тоже🙏🏻 Надеюсь все получится🤲🏻",18 ноября 2025,5,True,1,False
Куда нужно обратиться за жалобами к сотруднику банка кто знает? Самый ужасный банк слов нет. Менеджер элементарно не знает как правильно письмо направить 🤦🏼‍♀️ .,15 ноября 2025,1,True,0,False
"Являюсь клиентом банка с мая 2022года (дистанционно). Сегодня лично обратился в офис Freedom Bank на ул. Курмангазы 61а, чтобы выпустить именную банковскую карту. Со мной работала Степанова Милана Дмитриевна. Внимательно меня выслушала, задала дополнительные вопросы, подробно объяснила как и какую карту лучше сделать. Всё вежливо, с улыбкой на лице, владеет всей рабочей информацией, ни один мой вопрос не остался без ответа. Конечно, ей пришлось немного повозиться со мной, пока все данные обновить, пока решить как напечатать моё длинное имя и фамилию, пока я пройду проверку безопасности.
В общем Степанова Милана мне понравилась и как сотрудник банка и как человек, я аж почти в неё влюбился :))

А вот сегодня я был сперва в отделении на Толе би 55, с теми же самыми вопросами, но там меня проводили в отдельный кабинет, девушка толком не могла ответить на все мои вопросы, начала меня отговаривать от выпуска обычной карты и начала предлагать оформить премиальную карту за 100000. Поэтому я оттуда ушёл.",28 июля 2025,5,True,4,False
Мутные ребята,24 февраля 2026,1,False,0,True
өтте керемет,20 февраля 2026,4,True,0,False
Отличное обслуживание,10 февраля 2026,5,True,1,False
Ерсултан рахмет!,26 января 2026,5,True,1,False
Нормально все.,23 января 2026,5,True,1,False
Ерсултан спасибо,22 января 2026,5,True,1,False
Ерсултан большой рахмет,22 января 2026,5,True,1,True
Менеджер Ерсұлтану спасибо большое 👌👌👍,22 января 2026,5,True,1,False
Ерсұлтанға үлкен рахмет,22 января 2026,5,True,1,False
Спасибо большое супервайзеру Акерке за быструю обслуживание! Грамотно и оперативно!🌹,16 января 2026,5,True,1,False
Джаткамбаева Айман Бектимуровна өте керемет жылдам жауап берді. Өте білікті маман,15 января 2026,5,True,1,False
"Спасибо супервайзеру Байбосын Акерке, очень рада! Спецалист своего дела!",14 января 2026,5,True,1,False
"Мамытбекова Мадина Акылбекова
Жаксы кызмет корсеты коп Рахмет",14 января 2026,5,True,1,False
"Девушка Айганым встерила и все ясно объяснила, молодец обслуживание отличное мы остались довольны",9 января 2026,5,True,1,False
"Айбек очень доброжелательный и трудолюбивый сотрудник, быстро помог решить проблему, спасибо!",8 января 2026,5,True,1,False
Айман Бектимурована спасибо большое за информацию за помощь обслуживания на высшем уровне,8 января 2026,5,True,1,False
"Алмас- Идеальная Консультация и сопровождение операции!!! Огромное спасибо, Я восхищён!!!!",8 января 2026,5,True,1,False
